Date,Close,High,Low,Open,Volume
2024-09-26,166.31478881835938,169.29122851189427,160.65087274286995,168.48210184340496,8475000
2024-09-27,163.87777709960938,167.0757604303318,163.58879907201785,166.64230073796105,5880700
2024-09-30,163.8007049560547,165.9005834075906,161.58522648197118,165.07218761982136,8099700
2024-10-01,159.6876220703125,164.03187531949723,158.05009961772166,163.5598921131927,8277600
2024-10-02,162.13429260253906,163.51173343444214,159.08077631046658,160.0440265810671,4484600
2024-10-03,162.7122344970703,163.2998177520477,159.57204389557074,159.85138000785642,6260200
2024-10-04,162.69296264648438,166.44964747033774,160.36189878661187,166.20883490591248,6586500
2024-10-07,160.8050079345703,162.51959229806835,159.6491105105765,161.47928020706394,4359300
2024-10-08,160.22703552246094,161.55632550831865,157.64553202891707,158.80142933495213,7843500
2024-10-09,163.96446228027344,164.04152406570552,158.61842033743818,159.85137950828616,5486500
2024-10-10,162.3269500732422,162.54849353416526,159.25417916230356,161.0843489139933,5048000
2024-10-11,163.73329162597656,164.1667513471748,160.73758242671366,161.8260600338839,3801400
2024-10-14,171.4970703125,172.29656979434466,164.61946402440137,165.04329649169566,9933600
2024-10-15,167.69224548339844,173.22130763793777,166.40149357595237,170.70722370279077,12910400
2024-10-16,165.17816162109375,168.25093250963224,163.96447150284507,168.2027670537739,6495700
2024-10-17,164.81211853027344,169.1659989423298,164.73505674890535,169.1659989423298,6093200
2024-10-18,164.6387176513672,166.2377164645787,163.19384239321894,165.78498770784978,6432700
2024-10-21,162.79893493652344,163.91630886026635,159.9669912786722,163.40578735507987,7297700
2024-10-22,166.815673828125,167.10465184721502,162.0475879562536,162.79892198706813,7313000
2024-10-23,160.47752380371094,166.29554979914442,158.26204492637083,163.11682051409426,9788200
2024-10-24,161.92237854003906,162.73150525067354,159.44681825631986,160.48713032629254,4933400
2024-10-25,164.0126190185547,166.81566598728833,163.56951745037273,164.02224622945988,5496600
2024-10-28,165.89096069335938,166.78677637870146,163.14569157744376,163.19385702997488,5024600
2024-10-29,169.5320587158203,170.08111846103566,164.9662468432044,165.87170450848564,6427700
2024-10-30,161.45999145507812,165.42859221559561,161.3733024658758,163.67546982222547,8819700
2024-10-31,156.7882537841797,161.61413244472377,156.12360873254096,161.46000887082982,10261200
2024-11-01,159.19639587402344,159.97662633727376,156.78826990199929,157.08687517084476,6498100
2024-11-04,159.10968017578125,161.34442796443423,157.62628115595936,158.99409484120727,4949800
2024-11-05,159.81285095214844,161.43110430136855,158.21385202515793,158.9362897056381,5373200
2024-11-06,166.63267517089844,171.89201359323212,162.4714268077906,163.03011374717266,17661900
2024-11-07,166.5556182861328,175.4078911810579,165.32265903810753,173.6451413112951,23586300
2024-11-08,164.6291046142578,167.11429203599235,162.54848053587088,165.76573286013453,10736600
2024-11-11,162.1053924560547,164.51351829423862,159.98624465805955,163.7525569965073,7829500
